taxon_name,distribution,,,,,
Olearia hygrophila,"occurs in swamps in Melaleuca quinquenervia woodland or in Melaleuca quinquenervia-Eucalyptus robusta open forest with a dense ground layer dominated by Baloskion tetraphyllus ; very specific habitat requirements, always observed growing in shade, on wet peat with a pH of 4.2 (Sparshott & Bostock, 1993).",x,,,,
Olearia pannosa subsp. pannosa,"occurs in sandy, flat areas and in hilly, rocky areas in woodland or mallee (Cropper, 1993; Kahrimanis et al., 2001). Hilly area soil types include hard pedal mottled-yellow duplex and hard pedal red duplex (Laut et al., 1977, cited in Pobke, 2007). mallee, woodland and shrubland vegetation associations (Obst, 2005). ",x,,,,
Acacia splendens,"grows in brown gravelly loam on the slopes of a lateritic breakaway, and on the adjoining colluvial slope and alluvial flat below the breakaway. On the lateritic slopes of Population 1, the splendid wattle occurs in a low woodland of",x,,,,
Acacia volubilis, Habitat is shrubland over laterite or sheet granite in disturbed mallee shrublands or heath. Soils where the species occurs vary from brown loamy-clay to red-brown sandy loam to yellow-white sand or white-grey sandy-loams.,x,,,,
Androcalva perkinsiana,,x,,,,
Bossiaea fragrans,occur within an open White Box (Eucalyptus albens) Woodland on slate and volcanic substrates. eucalypt woodland,x,,,,
Patersonia spirifolia,,x,,,,
Pimelea pagophila, in more open habitat nearby. Soils are generally sandy (Carter 2006). eucalypt forest,x,,,,
Pomaderris cocoparrana,,x,,,,
Poranthera petalifera,occurs only in a high altitude sub- alpine karst community. ,x,,,,
Prasophyllum amoenum,"bolster heath (cushion plants), alpine sedgeland and alpine heath (sensu Kirkpatrick 1999), whilst at Snug Tiers it occurs in sedge dominated moorland and heaths. At Snug Tiers, the species occurs in a
grassy, open area beside a track in an area of damp dense scrub and sedgeland on dolerite (Jones et al. 1999), habitat now considered atypical for the species (TSS 2015). Soil at the Snug Tiers moorland sites consists of a black peat over a silty clay loam, whereas at Mt Wellington, a fibrous peat surface overlays a black muck peat at depth, at least in the more poorly-drained areas, the underlying substrate being Jurassic dolerite. The Snug Tiers site has a cold, subalpine climate despite being at a lower altitude than the Wellington Range site.=",x,,,,
Prasophyllum apoxychilum,"coastal heathland or grassy and scrubby open eucalypt forest on sandy and clay loams, often among rocks (TSU 2000).",x,,,,
Prasophyllum castaneum,damp coastal heath,x,,,large numbers of flowering plants often being produced the year following a summer fire but few or none in subsequent years. ,
Prasophyllum favonium," grows among shrubs in windswept dense low heathland in drained dark grey to black sandy peaty loam, at altitudes from 10-30 m above sea level (Jones 1998; Jones et al. 1999).",x,,,,
Prasophyllum milfordense,"grows in open woodland dominated by white gum (Eucalyptus viminalis), with a dense ground cover of sagg (Lomandra longifolia). Soils are well-drained, grey sandy loams. eucalypt woodland",x,,,,
Prasophyllum morganii,"open forest at about 1000 m above sea level (Backhouse & Jeanes 1995). It was found on the sunny side of a small ridge running down to a creek, where the soil was clayey with a little quartz and sandstone (Nicholls 1930 in Coates et al., 2002). ",x,,,,
Prasophyllum olidum,grows in relatively damp conditions on sandy loam,x,,,,
Prasophyllum perangustum,found growing in open forest and heathy woodland on well drained sandy loam.,x,,,,
Prasophyllum pulchellum,grows in low heath ,x,fire_cued_flowering (summer fires),,,
Prasophyllum robustum,occurs in grassy and shrubby Eucalyptus amygdalina forest on well-drained brown loam derived from basalt (TSU 2000).,x,,,,
Prasophyllum secutum,"grows among shrubs in windswept dense low heathland in drained dark grey to black sandy peaty loam, at altitudes from 10-30 m above sea level (Jones 1998; Jones et al. 1999).",x,,,,
Prasophyllum stellatum,"occurs in forest dominated by Eucalyptus delegatensis, with E. dalrympleana as a minor canopy component, and a shrubby to grassy understorey in areas with a relatively high surface rock cover with deep clay-loam soils on Jurassic dolerite. eucalypt forest",x,,,,
Prasophyllum tunbridgense, grows in native grassland on well-drained loams derived from basalt (TSS 2010).,x,"fire_cued_flowering rain_cued_flowering (autumn, winter)",,,
Pterostylis sp. Botany Bay (A.Bishop J221/1-13),found on moist flat sites on sandy soils derived from sandstone. It is found in association with vegetation communities such as coastal heath,x,,,,
Solanum graniticum,occurs in eucalypt woodland on hillsides in shallow soils derived from granite and granodiorite,x,,,,
Solanum orgadophilum,grows in fertile cracking clay soils on flat to undulating terrain in grasslands or open eucalypt woodlands (Bean 2010).,x,vegetative_reproduction rhizome,,,
Sporobolus pamelae,permanent wetlands created by Great Artesian Basin (GAB) discharge springs; grows in shallow water and in adjacent moist substrate spring complexes,x,,,,
Spyridium fontis-woodii,understorey shrub in Eucalyptus diversifolia subsp. diversifolia (Coastal White Mallee) mallee over a diverse understorey on sandy loam over calcrete. ,x,,,,
Synaphea quartzitica,occurs on the slopes of chert hills in open heath,x,,,,
Tectaria devexa,"recorded from limestone caves    grows clonally, mainly on the plateau, in primary rainforest (tall and largely undisturbed), above 80 m elevation; both in deeper soils and as a lithophyte (on mossy pinnacles at the base of a slope, a wet site) (Holmes & Holmes 2002).",x,lithophyte terrestrial vegetative_reproduction,,,
Tetratheca gunnii," mainly occurs in heathy Eucalyptus amgydalina (black peppermint) dry sclerophyll forest and woodland, with occasional Eucalyptus ovata (swamp gum) (Brown et al., 1986; Leigh & Briggs 1992; Potts & Barker 1999) and also in shrubby Eucalyptus amgydalina/Eucalyptus obliqua forest (Johnson & Barker 1998). In heathy Eucalyptus amygdalina-dominated communities, a shrubby mid-storey of Allocasuarina littoralis (black she-oak) and Banksia marginata (silver banksia) occur sparsely over a dense, heathy understorey dominated by Lomandra longifolia (spiny-headed mat-rush), Correa reflexa (native fuchsia), Hibbertia riparia (stream guinea-flower), Euryomyrtus ramosissima (rosy baeckea), Gahnia spp. (sedges) and grasses (see Potts & Barker 1999). There are some exceptions to these vegetation associations, for example, the Barnes Hill population occurs in Allocasuarina littoralis-dominated woodland, largely devoid of an understorey (Potts & Barker 1999). associated with serpentine geology.",x,,,,
Thomasia sp. Green Hill (S.Paust 1322), occur is a bush-block consisting entirely remnant open woodland dominated by Eucalyptus wandoo (wandoo) on brown sandy clay-loam over laterite (CALM 2003; DEC 2011).  thickets are associated with fresh-water seeps in the abovementioned lateritic landscape (DEC 2011).,x,,,,
Trichanthodium baracchianum,located on the periphery of saline flats and depressions on the fringes of salt lakes in samphire vegetation communities.,x,,,,
Verticordia staminosa var. cylindracea," grows in seasonally wet shallow soil pockets in crevices and on edges of exposed granite outcrops (Patten et al., 2004). ",x,,,,
Xanthorrhoea arenaria,,x,,,,
Commersonia erythrogyna,"single wild population is found on a lateritic ridge supporting open low jarrah (Eucalyptus marginata) and marri (Corymbia calophylla) woodland, with the two mature plants growing in small fissures in the rock. eucalypt woodland",x,,,,
Conospermum densiflorum subsp. unicephalatum," restricted to low-lying sandy clay soils with surface lateritic gravel,  gravel or clay soils that support heathland ",x,,,,
Croton mamillatus,"grows as an understorey shrub in remnants of dry microphyll or notophyll vineforest on red rocky soils derived from chert, often on hillsides near rainforest margins",x,,,,
Darwinia whicherensis,occurs in a winter-wet area of shrubland on shallow red clay over ironstone under a tall shrubland of Dryandra squarrosa (Keighery 2009).,x,,,,
Daviesia bursarioides," occurs in open shrub mallee habitat dominated by Eucalyptus gittinsii and Allocasuarina campestris, with a range of Acacia, Banksia, Hakea and Grevillea species (Stack et al. 2004). Soils are shallow brown sandy loams with extensive lateritic gravel (Stack et al., 2004). dense thicket on deep lateritic gravel (Stack et al., 2004).",x,,,,
Denhamia megacarpa," sandy or gravelly soils that support open eucalypt woodland (Regional Ecosystem 11.5.9b)) or Acacia forests dominated by Acacia shirleyi (Lancewood) and A. catenulata (Bendee) (Regional Ecosystem 11.7.2),",x,,,,
Drummondita ericoides," restricted to the sandstone and laterite slopes of Moresby Range, north of Geraldton over a linear range of 20 km (Stack et al., 2004).  grows in low heathland on sandstone and laterite slopes, ridges and gullies of the Moresby Range, in brown loam or sandy loam and clay soils (Stack et al., 2004). ",x,,,,
Epacris hamiltonii,,x,,,,
Epacris stuartii,"occur in shallow soil or in crevices in dolerite rock pavements (Keith and Ilowski 1999), and also on seaward facing cliffs (Keith 1996). ",x,,,,
Eremophila denticulata subsp. trisulcata,"grows on powdery grey loams over limestone in tall Eucalyptus woodland with Melaleuca quadrifaria (limestone honey-myrtle) and M. sheathiana (boree) (CALM, 2004). It is only known from disturbed sites such as on road verges and firebreaks.",x,,,,
Eremophila pinnatifida,grows in red or brown clay loam in tall open woodland and shrubland,x,,,,
Eremophila verticillata,Habitat is powdery brown loam over dolomite in open low Eucalypt woodland ,x,,,,
Erythroxylum sp. Cholmondely Creek (J.R.Clarkson 9367),locally common in woodland habitat on the western side of Cape York Peninsula (CYP) in Queensland.,x,,,,
Eucalyptus broviniensis,grows in sandy soils on flats near escarpments and plateaus amongst heathy vegetation. occurs in grey loams on flat terrain in mixed open woodland eucalypt,x,,,,
Eucalyptus cadens,,x,,,,
Eucalyptus crucis subsp. praecipua,currently known from a single granite rock west of Paynes Find,x,,,,
Eucalyptus cuprea,"Mallee box grows on rises in brown sandy loam with sandstone or sometimes with granite, and in red-brown 'clayey loam' with laterite (Patrick 2001). It has also been recorded from a clay flat (Patrick 2001). Mallee box grows emergent above low heath with other emergents, including Nuytsia floribunda (Western Australian Christmas tree), and heath species, including Melaleuca megacephala (hillock bush) and M. scabra (rough honey-myrtle), or in tall shrubland with E. loxophleba (York gum), Acacia acuminata (raspberry jam), Dodonaea inaequifolia and Allocasuarina spp. (Patrick 2001).",x,vegetative_reproduction,,,
Eucalyptus dalveenica," occurs in woodland, on clay soils with impeded drainage",x,,,,
Eucalyptus dolorosa,"confined to lateritic breakaway slopes and a summit in mallee heath over low scrub, amongst massive ironstone blocks. ",x,,,,
Eucalyptus x impensa,"inhabits very open shrub mallee over low heath, on grey gravelly sand on undulating plains and low breakaway slopes (Brown et al., 1998). ",x,,,,
Eucalyptus leprophloia," range of habitats, including the slopes of hills in brown loam over laterite ; in white sand on gentle valley slopes in low Eucalyptus accedens (powder-barked wandoo) woodland over heath; on grey sand and laterite with Eucalyptus todtiana (coastal blackbutt); in grey sandy clay loam on the slopes of a drainage line between two breakaways; and in grey sand and lateritic gravel with Corymbia calophylla (marri) and Eucalyptus wandoo (wandoo) over open low scrub (Brown et al.,1998).",x,,,,
Eucalyptus nudicaulis,"grows in skeletal granite soils amongst openeucalypt woodland of E. leucophloia and Corymbia capricornia on exposed quartzite, rocky gullies and steep hillsides between 400-520 m above sea level (Bean 1991)",x,,,,
Eucalyptus x phylacis,,x,,,,
Gentiana baeuerlenii," occurs in the inter-tussock space of moist tussock grassland and sedgeland associated with ground water, possibly spring-fed. The area is probably a relict grassland opening once surrounded by open woodland. ",x,,,,
Goodenia integerrima,gypsum-rich soil that is unique to the single salt-lake in which it was discovered. ,x,,,,
Grevillea hodgei,,x,,,,
Grevillea humifusa,"Grows in brown, gravelly loam in or near woodland. ",x,,,,
Grevillea kennedyana,"found on rocky sites, typically the colluvial slopes of mesas and jump-ups, and occasionally in dry rocky watercourses (Figure 4). These habitats consist of the weathered moderately coarse fragments of silcrete duricrust overlying brown, loamy lithosols (Geological Survey of New South Wales 1967). ",x,,,,
Hakea pulvinifera,on a steep west facing slope that ranges from 30-50 degrees,x,vegetative_reproduction no_sexual_reproduction no_fertile_seeds,,,
Hibbertia carinata,known only from ridges,x,,,,
Hibbertia humifusa subsp. debilis,grows on wet heathland (Toelken 1995),x,,,,
Irenepharsus trypherus," typically occupies steep rocky slopes near cliff lines and ridge tops (NSW DEC, 2005) that extend south and east of the Illawara escarpment (OEH, 2014). It is less typically found growing out of rock crevices or on narrow benches along cliff lines (OEH, 2014). The species has also been recorded from the deep sandstone gorges of the Shoalhaven River (OEH, 2014). Vegetation associated with the species includes moist sclerophyll forest, Backhousia myrtifolia (ironwood) thicket, and rainforest (OEH, 2014).",x,,,,
Jacksonia pungens,grows from a soil-stored seedbank on yellow to brown sand or gravelly lateritic soil with quartzite over chert. The associated vegetation is characterised by tall shrubland of Allocasuarina campestris (shrubby she-oak) and Actinostrobus sp. (cypress pines) (Chappill 1998).,x,soil_seedbank_present,,,
Lambertia echinata subsp. occidentalis,ccurs in winter-wet shrubland over shallow sands over  ironstone,x,,,,
Lasiopetalum pterocarpum,ironstone ,x,,,,
Leionema lachnaeoides, occur on exposed sandstone cliff tops and terraces at 960 - 1000m altitude with aspects from south-east to south-west. Habitat is montane heath ,x,,,,
Leionema lamprophyllum subsp. fractum,found on a rocky cliff line at 515 m a.s.l. elevation in sparse heathland to open eucalypt woodland (Bell and Walsh 2015).,x,fire_killed_presumed soil_seedbank_present,,,
Livistona mariae subsp. mariae,gorge floors that are continuously fed by bicarbonate- rich spring waters,x,,,,
Lomatia tasmanica,"occurs in implicate scrub (short tangled vegetation) and mixed forest (containing eucalypts and rainforest species) in one extant site in two deeply incised creeks separated by a ridge (TSS, 2016).",x,vegetative_reproduction sexual_reproductin_absent root_buds coppice,,,"King's lomatia does not sexually reproduce and the genetic studies indicate that the single population is a large sterile clone (TSS, 2006). The species only regenerates by root suckering and coppicing, and flowers are unable to produce seeds (TSS, 2006). The species is a triploid (has three sets of chromosomes) which is relatively uncommon in natural populations (TSS, 2006)"
Nematolepis squamea subsp. coriacea, occur in rocky outcrops on sparse shrubland. The St Helena Spur population grows on skeletal Snowy River volcanics / Boundary Creek conglomerate soils.,x,post_fire_recruitment post_disturbance_recruitment,,,
