taxon_name,original_text,text,commonness_a,commonness_f,habitat_a,habitat_f,habitat_topographic_a,habitat_topographic_f,plant_growth_substrate_a,plant_growth_substrate_f,soil_a,soil_f,soil_moisture_a,soil_moisture_f,substrate_a,substrate_f
Hakea elliptica,WA native Native to the south coast of Western Australia grown as an ornamental occasionally escaping cultivation in Victoria,WA native Native to the south coast of Western Australia grown as an ornamental occasionally escaping cultivation in Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea eriantha,Scattered through dry to moist lowland to montane forests mainly east from Maffra often abundant near rainforest margins,Scattered through dry to moist lowland to montane forests mainly east from Maffra often abundant near rainforest margins,NA,NA,forest rainforest,forests rainforest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea laurina,Native to southwest Western Australia SA naturalised Commonly grown as an ornamental occasionally escaping cultivation in Victoria mainly on sandy soils,Native to southwest Western Australia SA naturalised Commonly grown as an ornamental occasionally escaping cultivation in Victoria mainly on sandy soils,NA,NA,NA,NA,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Hakea leucoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea leucoptera subsp. leucoptera,Confined in Victoria to the northwest usually on more fertile soils and much depleted through clearing for agriculture,Confined in Victoria to the northwest usually on more fertile soils and much depleted through clearing for agriculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea lissosperma,Scattered in rocky highsubalpine to alpine areas eg Mt Buffalo Snowy Range Mt Hotham area the Cobberas but locally common,Scattered in rocky highsubalpine to alpine areas eg Mt Buffalo Snowy Range Mt Hotham area the Cobberas but locally common,NA,NA,alpine,alpine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea macraeana,Known in Victoria from a single� young plant in the Upper Genoa River possibly originating from seed washed downstream from plants across the border in New South Wales Subsequent attempts to relocate this plant have been unsuccessful and it is likely that this individual has not persisted at that site Also sparingly established from a planting at Mount Martha on the Mornington Peninsula,Known in Victoria from a single� young plant in the Upper Genoa River possibly originating from seed washed downstream from plants across the border in New South Wales Subsequent attempts to relocate this plant have been unsuccessful and it is likely that this individual has not persisted at that site Also sparingly established from a planting at Mount Martha on the Mornington Peninsula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea microcarpa,Locally common in subalpine bogs along streammargins or in poorly drained woodlands in the higher subalps but with disjunct occurrences at lower altitudes along rocky banks of the upper Cann and Genoa Rivers Historical records from western Victoria are likely to be mislabelled,Locally common in subalpinebogs along streammargins or in poorly drained woodlands in the higher subalps but with disjunct occurrences at lower altitudes along rocky banks of the upper Cann and Genoa Rivers Historical records from western Victoria are likely to be mislabelled,NA,NA,subalpine woodland,subalps woodlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea mitchellii,Confined in Victoria to the further west and northwest bounded approximately by the 250 mm and 500 mm rainfall isohyets mainly in mallee woodlands and malleeheath communities commonly on calcareous sandy soils or deep siliceous sands A 1923 coillection was supposedly from Pakenham,Confined in Victoria to the further west and northwest bounded approximately by the 250 mm and 500 mm rainfall isohyets mainly in mallee woodlands and malleeheath communities commonly on calcareous sandy soils or deep siliceous sands A 1923 coillection was supposedly from Pakenham,NA,NA,mallee woodland,mallee woodlands,NA,NA,NA,NA,sand,sands sandy,NA,NA,calcareous,calcareous
Hakea nodosa,Occurs mainly in poorly drained heathland heathy woodland and scrubs fringing swamps,Occurs mainly in poorly drained heathland heathy woodland and scrubs fringing swamps,NA,NA,heath scrub swamp woodland,heathland scrubs swamps woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea oleifolia,Native to southwestern Western Australia Occasionally cultivated known in Victoria from a single population near Aireys Inlet,Native to southwestern Western Australia Occasionally cultivated known in Victoria from a single population near Aireys Inlet,NA,NA,cultivated,cultivated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea petiolaris,Native to southwestern Western Australia cultivated in Victoria plants sometimes persisting in old gardens,Native to southwestern Western Australia cultivated in Victoria plants sometimes persisting in old gardens,NA,NA,cultivated,cultivated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea prostrata,Native to southwestern In Victoria known from an incursion in a wildflower plantation ie Protea Leucadendron and Erica plants grown for cut flower trade near the Grampians National Park,Native to southwestern In Victoria known from an incursion in a wildflower plantation ie Protea Leucadendron and Erica plants grown for cut flower trade near the Grampians National Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea repullulans,Occurs on sandy acidic soils in heathy openforests and woodlands and malleeheathlands west of Geelong with disjunct records in Holey Plains State Park and Wilsons Promontory,Occurs on sandy acidic soils in heathy openforests and woodlands and malleeheathlands west of Geelong with disjunct records in Holey Plains State Park and Wilsons Promontory,NA,NA,forest_open woodland,openforests woodlands,NA,NA,NA,NA,acidic sand,acidic sandy,NA,NA,NA,NA
Hakea rostrata,Occurs through a range of heathlands and heathy woodlands in the west and southwest mostly on sandy soils and locally common,Occurs through a range of heathlands and heathy woodlands in the west and southwest mostly on sandy soils and locally common,NA,NA,heath woodland,heathlands woodlands,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Hakea rugosa,Occurs in southwestern heathlands and woodlands where largely coextensive with Hakea rostrata Historical records of this species from the headwaters of the Macalister River are doubtful,Occurs in southwestern heathlands and woodlands where largely coextensive with Hakea rostrata Historical records of this species from the headwaters of the Macalister River are doubtful,NA,NA,heath woodland,heathlands woodlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea salicifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea salicifolia subsp. salicifolia,NSW native and naturalised ACT doubtfully naturalised Native to coastal areas and nearby ranges in New South Wales and southern Queensland plants occasionally escaping cultivation in Victoria,NSW native and naturalised ACT doubtfully naturalised Native to coastal areas and nearby ranges in New South Wales and southern Queensland plants occasionally escaping cultivation in Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea sericea,SA naturalised NSW native and naturalised Also naturalised New Zealand Spain S Africa Recorded as naturalised following 1983 wildfires from cultivation at Anglesea Widely cultivated and possibly naturalised elsewhere,SA naturalised NSW native and naturalised Also naturalised New Zealand Spain S Africa Recorded as naturalised following 1983 wildfires from cultivation at Anglesea Widely cultivated and possibly naturalised elsewhere,NA,NA,cultivated,cultivated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea tephrosperma,Scattered in the north and northwest of the State on sandy and heavier fertile loam soils and like Hakea leucoptera now much reduced by agriculture,Scattered in the north and northwest of the State on sandy and heavier fertile loam soils and like Hakea leucoptera now much reduced by agriculture,NA,NA,NA,NA,NA,NA,NA,NA,loam sand,loam sandy,NA,NA,NA,NA
Hakea teretifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea teretifolia subsp. hirsuta,Occasional to locally common in damp to wet lowland heaths and heathy woodlands east of Melbourne with a disjunct occurrence in the Grampians,Occasional to locally common in damp to wet lowland heaths and heathy woodlands east of Melbourne with a disjunct occurrence in the Grampians,NA,NA,heath woodland,heaths woodlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea ulicina,Flinders Cape Barren and Clarke Islands A common understorey shrub in sclerophyll forest on the southern slopes of the Great Dividing Range and as a component of coastal heathlands growing in acidic sandy to sandy loam soils Occurs mainly east of Port Phillip Bay but with western outliers near Anglesea and in the Brisbane Ranges,Flinders Cape Barren and Clarke Islands A common understorey shrub in sclerophyll forest on the southern slopes of the Great Dividing Range and as a component of coastal heathlands growing in acidic sandy to sandy loam soils Occurs mainly east of Port Phillip Bay but with western outliers near Anglesea and in the Brisbane Ranges,NA,NA,forest heath sclerophyll,forest heathlands sclerophyll,slopes,slopes,NA,NA,acidic loam sand,acidic loam sandy,NA,NA,NA,NA
Hakea undulata,Native to southwestern SA naturalised Known in Victoria from a single naturalised population growing on a roadside near Balmoral,Native to southwestern SA naturalised Known in Victoria from a single naturalised population growing on a roadsides near Balmoral,NA,NA,roadside,roadsides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halgania andromedifolia,Often locally common throughout the far northwest of the State usually in mallee communities,Often locally common throughout the far northwest of the State usually in mallee communities,NA,NA,mallee,mallee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halgania cyanea,Often locally common throughout the far northwest of the State usually in mallee communities,Often locally common throughout the far northwest of the State usually in mallee communities,NA,NA,mallee,mallee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halophila australis,Usually occurring in calm water in sandy and muddy substrates from low tide to a depth of about 23 metres,Usually occurring in calm water in sandy and muddy substrates from low tide to a depth of about 23 metres,NA,NA,NA,NA,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Halophila decipiens,In Victoria known from a single collection in the Mallacoota Inlet 1981 A widespread pantropical species,In Victoria known from a single collection in the Mallacoota Inlet 1981 A widespread pantropical species,NA,NA,widespread,widespread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis acutangula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis acutangula f. acutangula,Known in Victoria from a single collection near Murrayville growing on a roadside in limestone soils In South Australia this form is also known to grow in deep sand,Known in Victoria from a single collection near Murrayville growing on a roadsides in limestone soils In South Australia this form is also known to grow in deep sand,NA,NA,roadside,roadsides,NA,NA,NA,NA,NA,NA,NA,NA,calcareous,limestone
Haloragis acutangula f. tetraptera,Known in Victoria from a single collection in MurraySunset National Park growing in deep sand In South Australia this form is also known to grow in shallow sand over limestone,Known in Victoria from a single collection in MurraySunset National Park growing in deep sand In South Australia this form is also known to grow in shallow sand over limestone,NA,NA,NA,NA,NA,NA,NA,NA,sand,sand,NA,NA,NA,NA
Haloragis aspera,Naturalized in New Zealand Widespread in drier inland parts of Victoria where it favours disturbed areas especially on heavy soils near waterways or seasonally inundated sites,Naturalized in New Zealand Widespread in drier inland parts of Victoria where it favours disturbed areas especially on heavy soils near waterways or seasonally inundated sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis eichleri,Apparently confined to the Portland area where known from a single collection,Apparently confined to the Portland area where known from a single collection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis exalata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis exalata var. exalata,Apparently confined to the southwest coast between the Glenelg River and Curdies River where it grows in damp riparian habitats,Apparently confined to the southwest coast between the Glenelg River and Curdies River where it grows in damp riparian habitats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis glauca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis glauca f. glauca,Also A Scattered throughout northern Victoria particularly in the Wimmera and Riverina floodplain areas where it often grows on heavy soils that are seasonally inundated,Also A Scattered throughout northern Victoria particularly in the Wimmera and Riverina floodplain areas where it often grows on heavy soils that are seasonally inundated,NA,NA,floodplain,floodplain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis heterophylla,Widespread in Victoria mostly at lower altitudes but montane to subalpine in the CobungraOmeo area especially in moist areas near creeks and along drainage lines,Widespread in Victoria mostly at lower altitudes but montane to subalpine in the CobungraOmeo area especially in moist areas near creeks and along drainage lines,NA,NA,subalpine,subalpine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis myriocarpa,In Victoria apparently confined to the west between Little Desert and Portland where it grows in wet habitats,In Victoria apparently confined to the west between Little Desert and Portland where it grows in wet habitats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis odontocarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis odontocarpa f. octoforma,Currently known from 2 sites in the Hattah�Kulkyne National Park where it grows on dunes,Currently known from 2 sites in the Hattah�Kulkyne National Park where it grows on sandduness,NA,NA,sanddunes,sandduness sandduness sanddunes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis odontocarpa f. odontocarpa,Apparently now only occurs in Not recorded in Victoria since the type gathering by Dallachy in the mid19th century from sand hills near Kulkyne,Apparently now only occurs in Not recorded in Victoria since the type gathering by Dallachy in the mid19th century from sand hills near Kulkyne,NA,NA,NA,NA,hills,hills,NA,NA,sand,sand,NA,NA,NA,NA
Haloragis odontocarpa f. pterocarpa,All mainland states In Victoria confined to northwest where it grows in mallee scrub and woodland on dunes or near lakes and moist depressions,All mainland states In Victoria confined to northwest where it grows in malleescrub and woodland on sandduness or near lakes and moist depressions,NA,NA,shrubland_mallee sanddunes lakes mallee woodland,malleescrub sandduness lakes mallees sandduness sanddunes woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis odontocarpa f. rugosa,All mainland states Currently known in Victoria from 2 sites in the northwest of the state growing in mallee woodland,All mainland states Currently known in Victoria from 2 sites in the northwest of the state growing in mallee woodland,NA,NA,mallee,mallee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragodendron baeuerlenii,In Victoria confined to far east between Suggan Buggan Mt Tingaringy and the Snowy River Gorge usually on elevated dry rocky spurs,In Victoria confined to far east between Suggan Buggan Mt Tingaringy and the Snowy River Gorge usually on elevated dry rocky spurs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hardenbergia violacea,introduced Widespread and often locally common in dryish openforests and woodlands across much of Victoria but sporadic in far western parts of the State Found in a variety of habitats and often cultivated,introduced Widespread and often locally common in dryish openforests and woodlands across much of Victoria but sporadic in far western parts of the State Found in a variety of habitats and often cultivated,NA,NA,forest_open woodland,openforests woodlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harmsiodoxa blennodioides,All mainland states except Generally restricted to sandy or light soils in the northwest of the State,All mainland states except Generally restricted to sandy or light soils in the northwest of the State,NA,NA,NA,NA,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Harmsiodoxa brevipes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harmsiodoxa brevipes var. brevipes,Grows in sandy soils of the northwest part of the State,Grows in sandy soils of the northwest part of the State,NA,NA,NA,NA,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Haworthia attenuata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haworthia attenuata var. attenuata,Native to South Africa Widely cultivated Sparingly established in Victoria known only from a single population near Barwon Heads which has since been eradicated,Native to South Africa Widely cultivated Sparingly established in Victoria known only from a single population near Barwon Heads which has since been eradicated,NA,NA,cultivated,cultivated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hedera helix,Also naturalised Native from southern Spain to Norway eastwards through Europe north of the Mediterranean to the Caucasus McAllister  Marshall 2017,Also naturalised Native from southern Spain to Norway eastwards through Europe north of the Mediterranean to the Caucasus McAllister  Marshall 2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hedera hibernica,Also naturalised Native to western Spain and Portugal western France and Britain A serious environmental weed of riparian sites damp and wet sclerophyll forest dry sclerophyll forest and woodland rocky outcrop vegetation Carr et al 1992 and coastal cliffs,Also naturalised Native to western Spain and Portugal western France and Britain A serious environmental weed of riparian sites damp and wetsclerophyll forest drysclerophyll forest and woodland rocky outcrop vegetation Carr et al 1992 and coastal cliffs,NA,NA,forest_dry_sclerophyll forest_wet_sclerophyll dry_sclerophyll forest woodland,drysclerophyll wetsclerophyll drysclerophyll forest woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hedycarya angustifolia,A common species in and at the edge of rainforest or in the understorey of wet sclerophyll forest often in moist shaded gullies,A common species in and at the edge of rainforest or in the understorey of wetsclerophyll forest often in moist shaded gullies,NA,NA,forest_wet_sclerophyll forest rainforest,wetsclerophyll forest rainforest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hedychium gardnerianum,Native to India commonly grown in cultivation sparingly established in the Dandenong Ranges and Mornington Peninsula southeast of Melbourne,Native to India commonly grown in cultivation sparingly established in the Dandenong Ranges and Mornington Peninsula southeast of Melbourne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Helianthus annuus,Also naturalised Native to North America Widely cultivated for oil extracted from cypselas and as an ornamental often escaping and weakly persisting along roadsides and in other disturbed sites,Also naturalised Native to North America Widely cultivated for oil extracted from cypselas and as an ornamental often escaping and weakly persisting along roadsidess and in other disturbed sites,NA,NA,cultivated roadside,cultivated roadsidess,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Helianthus tuberosus,Also naturalised Native to North America Likely to persist with dumped garden refuse but also sparingly established in some areas Noted in Victoria from Melbourne suburbs Clifton Hill Coburg Footscray and Wantirna,Also naturalised Native to North America Likely to persist with dumped garden refuse but also sparingly established in some areas Noted in Victoria from Melbourne suburbs Clifton Hill Coburg Footscray and Wantirna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Helichrysum leucopsideum,Widespread and often locally common throughout much of the state in a variety of habitats,Widespread and often locally common throughout much of the state in a variety of habitats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heliotropium amplexicaule,Also naturalised Native to South America Known in Victoria from a 1973 collection from a farm paddock in the northeast near Yackandandah and recent collections from the upper Snowy River in the far east and near the You Yangs,Also naturalised Native to South America Known in Victoria from a 1973 collection from a farm paddocks in the northeast near Yackandandah and recent collections from the upper Snowy River in the far east and near the You Yangs,NA,NA,paddock,paddocks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heliotropium asperrimum,A rare species of damp sandy situations,A rare species of damp sandy situations,rare,rare,NA,NA,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Heliotropium curassavicum,Naturalized all mainland States Native to South America A weed primarily of saline flats in the northwest of the State,Naturalized all mainland States Native to South America A weed primarily of saline flats in the northwest of the State,NA,NA,NA,NA,flat,flats,NA,NA,NA,NA,NA,NA,saline,saline
Heliotropium europaeum,Also naturalised Native to the Mediterranean region and western Asia A widespread weed primarily of lower rainfall areas,Also naturalised Native to the Mediterranean region and western Asia A widespread weed primarily of lower rainfall areas,NA,NA,widespread,widespread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heliotropium supinum,Also naturalised Native to Europe A weed primarily of heavy clay soils,Also naturalised Native to Europe A weed primarily of heavy clay soils,NA,NA,NA,NA,NA,NA,NA,NA,clay,clay,NA,NA,NA,NA
Helminthotheca echioides,Also naturalised Native to Europe Asia and Africa A common weed of roadsides gardens and wasteland mainly in western Victoria,Also naturalised Native to Europe Asia and Africa A common weed of roadsidess gardens and wasteland mainly in western Victoria,NA,NA,roadside,roadsidess,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Helosciadium nodiflorum,Also naturalised Native to Europe northern Africa and western and central Asia,Also naturalised Native to Europe northern Africa and western and central Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemarthria uncinata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemarthria uncinata var. uncinata,Scattered and locally common usually on waterlogged or seasonally wet sites rare and rarely fertile in the northwest eg HattahKulkyne area,Scattered and locally common usually on waterlogged or seasonally wet sites rare and rarely fertile in the northwest eg HattahKulkyne area,rare,rare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemichroa pentandra,Scattered but locally common in coastal saltmarsh communities from the South Australian border to the Gippsland Lakes,Scattered but locally common in coastal saltmarsh communities from the South Australian border to the Gippsland Lakes,NA,NA,saltmarshes,saltmarsh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herniaria cinerea,Also naturalised Native to the Mediterranean area southwestern Asia Ephemeral weed usually on poor sandy or clayey soils in arid areas,Also naturalised Native to the Mediterranean area southwestern Asia Ephemeral weed usually on poor sandy or clayey soils in arid areas,NA,NA,NA,NA,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Herpolirion novae-zelandiae,New Zealand Occurs in moist peaty herbfield and grassland above c 1200 m throughout the alpine area from Lake Mountain to Daveys Plain near the Cobberas Reasonably common but cryptic unless in flower,New Zealand Occurs in moist peaty herbfield and grassland above c 1200 m throughout the alpine area from Lake Mountain to Daveys Plain near the Cobberas Reasonably common but cryptic unless in flower,NA,NA,alpine grassland,alpine grassland,NA,NA,NA,NA,peat,peaty,NA,NA,NA,NA
Hesperocyparis glabra,Native to Arizona UPlanted as an ornamental tree Known only from a few scattered records in central Victoria,Native to Arizona UPlanted as an ornamental tree Known only from a few scattered records in central Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hesperocyparis macrocarpa,Native to California UCupressus macrocarpa is a massive widely spreading flatcrowned tree branching low down Widely grown as windbreaks hedges and street trees and known to selfseed in some areas,Native to California UCupressus macrocarpa is a massive widely spreading flatcrowned tree branching low down Widely grown as windbreaks hedges and street trees and known to selfseed in some areas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heterozostera nigricaulis,Forms large meadows in shallow coastal waters to a depth of c 15 m,Forms large meadows in shallow coastal waters to a depth of c 15 m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heterozostera tasmanica,Locally common in shallow coastal waters to a depth of c 8 m in sandy soil,Locally common in shallow coastal waters to a depth of c 8 m in sandy soil,NA,NA,NA,NA,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Hibbertia acicularis,Locally common plant of sandy coastal heaths and heathy woodlands east of Port Phillip Bay with a western outlier in the Otways near Chappie Vale,Locally common plant of sandy coastal heaths and heathy woodlands east of Port Phillip Bay with a western outlier in the Otways near Chappie Vale,NA,NA,heath woodland,heaths woodlands,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Hibbertia appressa,Occurs in moist forests riparian scrub etc in southern Victoria eg Otways Beenak area Mt Elizabeth,Occurs in moist forests riparian scrub etc in southern Victoria eg Otways Beenak area Mt Elizabeth,NA,NA,forest scrub,forests scrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hibbertia aspera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hibbertia aspera subsp. aspera,Locally common in nearcoastal heath woodland or openforest in Gippsland east of Western Port usually on welldrained gravelly or sandy soils,Locally common in nearcoastal heath woodland or openforest in Gippsland east of Western Port usually on welldrained gravelly or sandy soils,NA,NA,forest_open heath woodland,openforest heath woodland,NA,NA,NA,NA,gravelly sand,gravelly sandy,NA,NA,NA,NA
Hibbertia australis,Scattered throughout southern and western Victoria occurs in a range of habitats usually in wet or dry heath or woodland,Scattered throughout southern and western Victoria occurs in a range of habitats usually in wet or dry heath or woodland,NA,NA,heath,heath,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hibbertia calycina,Occasional in dryish openforest of foothills and ranges on the southern and northern slopes of the Great Dividing Range mostly east from about Heyfield and the Strathbogie Range respectively,Occasional in dryish openforest of foothills and ranges on the southern and northern slopes of the Great Dividing Range mostly east from about Heyfield and the Strathbogie Range respectively,NA,NA,forest_open,openforest,slopes,slopes,NA,NA,NA,NA,NA,NA,NA,NA
Hibbertia cistiflora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hibbertia cistiflora subsp. rostrata,Occurring in heath or shrubby vegetation on and near summits and ridgetops of the Grampians eg Mts William Rosea and Difficult and Wallaby Rocks etc,Occurring in heath or shrubby vegetation on and near summits and ridgetops of the Grampians eg Mts William Rosea and Difficult and Wallaby Rocks etc,NA,NA,heath,heath,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hibbertia crinita,Usually occurs on shallow stony soils away from the coast and mostly north of the Great Dividing Range eg Mt Arapiles Wedderburn Whitfield Warby Range etc but with southerly occurrences in Gippsland eg Maffra area Nowa Nowa�Buchan areas,Usually occurs on shallow stony soils away from the coast and mostly north of the Great Dividing Range eg Mt Arapiles Wedderburn Whitfield Warby Range etc but with southerly occurrences in Gippsland eg Maffra area Nowa Nowa�Buchan areas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hibbertia dentata,Confined to lowlands east from Orbost where occurring in moist openforest and sometimes rocky outcrop areas eg Genoa Peak with a�single�collection supposedly from the Avon Wilderness Area further west,Confined to lowlands east from Orbost where occurring in moist openforest and sometimes rocky outcrop areas eg Genoa Peak with a�single�collection supposedly from the Avon Wilderness Area further west,NA,NA,forest_open,openforest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hibbertia devitata,Widespread in western Victoria in a range of habitats commonly in mallee dry scrub and open woodland,Widespread in western Victoria in a range of habitats commonly in mallee dry scrub and open woodland,NA,NA,mallee scrub,mallee scrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hibbertia diffusa,Scattered and uncommon usually on shallow rocky soils in dryish openforest and woodland eastward from near Maffra eg upper Avon River Genoa River Howe Range,Scattered and uncommon usually on shallow rockysoils in dryish openforest and woodland eastward from near Maffra eg upper Avon River Genoa River Howe Range,NA,NA,forest_open woodland,openforest woodland,NA,NA,NA,NA,rocky,rockysoils,NA,NA,NA,NA
Hibbertia dispar,Uncommon and localised on rocky slopes and along creeks in riparian scrub in Gippsland eg Snowy Genoa and Avon River gorges,Uncommon and localised on rockyslopes and along creeks in riparian scrub in Gippsland eg Snowy Genoa and Avon River gorges,NA,NA,scrub,scrub,slopes_rocky,rockyslopes,NA,NA,NA,NA,NA,NA,NA,NA
Hibbertia empetrifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hibbertia empetrifolia subsp. empetrifolia,Locally common in wellwatered forest woodland or heathland east from Port Phillip Bay,Locally common in wellwatered forest woodland or heathland east from Port Phillip Bay,NA,NA,forest heath woodland,forest heathland woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hibbertia ericifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hibbertia ericifolia subsp. ericifolia,Usually on shallow soils on rocky often granitic montane to subalpine areas in the northeast eg Mt Buffalo Pine Mountain Wulgulmerang Bonang areas but nearer sealevel in East Gippsland Cann River Genoa areas,Usually on shallowsoils on rocky often granitic montane to subalpine areas in the northeast eg Mt Buffalo Pine Mountain Wulgulmerang Bonang areas but nearer sealevel in East Gippsland Cann River Genoa areas,NA,NA,subalpine,subalpine,NA,NA,NA,NA,soils_shallow,shallowsoils,NA,NA,granite,granitic
Hibbertia exponens,Currently known only from the vicinity of the upper Snowy River north of Buchan where recorded as growing on rocky or sandy riverbanks in riparian scrub,Currently known only from the vicinity of the upper Snowy River north of Buchan where recorded as growing on rocky or sandy riverbanks in riparian scrub,NA,NA,NA,NA,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Hibbertia exposita,Restricted to subalpine woodland on Mt Wellington and the adjoining Moroka Range growing in exposed sites on shallow rocky soil,Restricted to subalpine woodland on Mt Wellington and the adjoining Moroka Range growing in exposed sites on shallow rocky soil,NA,NA,subalpine woodland,subalpine woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
