Species,Susceptibility Rating,suggested_name,accepted_name,family,taxon_distribution,Species,In,In cultivation,By experiment,
Dryandra squarrosa s.l.,susceptible_but_degree_unknown,Banksia squarrosa,Banksia squarrosa,Proteaceae,WA,Banksia violacea,,,23*,"HS40,59"
Grevillea alpina,susceptible_but_degree_unknown,Grevillea alpina,Grevillea alpina,Proteaceae,"NSW, ACT, Vic",Buckinghamia celsissima,,,16,
Grevillea aquifolium,susceptible_but_degree_unknown,Grevillea aquifolium [alternative possible names: Grevillea monticola (nomenclatural synonym) | Grevillea infecunda (pro parte misapplied)],Grevillea aquifolium,Proteaceae,"SA, Vic",Cardwellia sublimis,,,,S36
Grevillea cirsiifolia,susceptible_but_degree_unknown,Grevillea cirsiifolia,Grevillea cirsiifolia,Proteaceae,WA,Carnarvonia araliifolia var. montana,16,,,
Grevillea lavandulacea s.l.,susceptible_but_degree_unknown,Grevillea lavandulacea [alternative possible names: Grevillea muricata (pro parte misapplied)],Grevillea lavandulacea,Proteaceae,"SA, Vic",Cennarrhenes nitida,"17,34",,,HS34
Grevillea oleioides,susceptible_but_degree_unknown,Grevillea oleoides,Grevillea oleoides,Proteaceae,NSW,Conospermum caeruleum s.l.,,,,MS59
Grevillea saccata Benth.,susceptible_but_degree_unknown,Grevillea saccata,Grevillea saccata,Proteaceae,WA,Conospermum coerulescens subsp. dorrienii,,,,MS59
Grevillea steiglitziana,susceptible_but_degree_unknown,Grevillea steiglitziana,Grevillea steiglitziana,Proteaceae,Vic,Conospermum eatoniae,,,,LS41
Hakea dactyloides,susceptible_but_degree_unknown,Hakea dactyloides,Hakea dactyloides,Proteaceae,"WA (naturalised), NSW, Vic",Conospermum hookeri,34,,,MS60
Hakea flabellifolia,susceptible_but_degree_unknown,Hakea flabellifolia,Hakea flabellifolia,Proteaceae,WA,Conospermum mitchellii,"25,29",,,S43
Hakea nodosa,susceptible_but_degree_unknown,Hakea nodosa,Hakea nodosa,Proteaceae,"SA, Vic, Tas",Conospermum scaposum,,,,LS41
Hakea oleifolia,susceptible_but_degree_unknown,Hakea oleifolia,Hakea oleifolia,Proteaceae,"WA, Vic (doubtfully naturalised)",Conospermum spectabile,,,,S58
Hakea prostrata,susceptible_but_degree_unknown,Hakea prostrata,Hakea prostrata,Proteaceae,"WA, SA (naturalised), Vic (doubtfully naturalised)",Conospermum stoechadis,,,,"S37,46"
Hakea ulicina,susceptible_but_degree_unknown,Hakea ulicina [alternative possible names: Hakea carinata (pro parte misapplied) | Hakea repullulans (pro parte misapplied) | Hakea carinata (misapplied)],Hakea ulicina,Proteaceae,"NSW, Vic, Tas",Conospermum todii ,,,,S52
Isopogon ceratophyllus,susceptible_but_degree_unknown,Isopogon ceratophyllus,Isopogon ceratophyllus,Proteaceae,"SA, Vic, Tas",Conospermum triplinervium,37,,37,S37
Lambertia echinata subsp. occidentalis,susceptible_but_degree_unknown,Lambertia echinata subsp. occidentalis,Lambertia echinata subsp. occidentalis,Proteaceae,WA,Conospermum undulatum,,,,LS41
Lambertia multiflora,susceptible_but_degree_unknown,Lambertia multiflora,Lambertia multiflora,Proteaceae,WA,Darlingia darlingiana,16,,,S36
Lomatia fraxinifolia,susceptible_but_degree_unknown,Lomatia milnerae,Lomatia milnerae,Proteaceae,Qld,Dryandra acanthopoda,,,,HS41
Lomatia ilicifolia,susceptible_but_degree_unknown,Lomatia ilicifolia,Lomatia ilicifolia,Proteaceae,"NSW, Vic",Dryandra anatona E,58,,,"S49,HS41,58"
Lomatia tasmanica CE,susceptible_but_degree_unknown,Lomatia tasmanica,Lomatia tasmanica,Proteaceae,Tas,Dryandra arctotidis,,,,"S46,MS40"
Opisthiolepis heterophylla,susceptible_but_degree_unknown,Opisthiolepis heterophylla,Opisthiolepis heterophylla,Proteaceae,Qld,Dryandra armata s.l.,14,,,"HS59,S46"
Persoonia silvatica,susceptible_but_degree_unknown,Persoonia silvatica,Persoonia silvatica,Proteaceae,"NSW, Vic",Dryandra baxteri,,,,HS59
Petrophile biloba,susceptible_but_degree_unknown,Petrophile biloba,Petrophile biloba,Proteaceae,WA,Dryandra bipinnatifida ,,,,S46
Petrophile drummondii,susceptible_but_degree_unknown,Petrophile drummondii,Petrophile drummondii,Proteaceae,WA,Dryandra calophylla,,,,MS58
Petrophile stricta,susceptible_but_degree_unknown,Petrophile stricta,Petrophile stricta,Proteaceae,WA,Dryandra carduacea,14,,,
Stirlingia tenuifolia s.l.,susceptible_but_degree_unknown,Stirlingia tenuifolia,Stirlingia tenuifolia,Proteaceae,WA,Dryandra cirsioides,,,,MS40
Xylomelum angustifolium,susceptible_but_degree_unknown,Xylomelum angustifolium,Xylomelum angustifolium,Proteaceae,WA,Dryandra comosa,,,,HS41
Alphitonia petriei,susceptible_but_degree_unknown,Alphitonia petriei,Alphitonia petriei,Rhamnaceae,"Qld, NSW",Dryandra concinna,58,,,"HS58,59"
Alphitonia whitei,susceptible_but_degree_unknown,Alphitonia whitei,Alphitonia whitei,Rhamnaceae,Qld,Dryandra conferta var. parva,,,,HS58
Cryptandra tomentosa,susceptible_but_degree_unknown,Cryptandra tomentosa [alternative possible names: Cryptandra myriantha (pro parte misapplied) | Cryptandra nutans (pro parte misapplied) | Cryptandra exilis (misapplied)],Cryptandra tomentosa,Rhamnaceae,"SA, Vic",Dryandra cynaroides,,,,HS41
Antirhea sp. (Mt Lewis BG 5733),susceptible_but_degree_unknown,Antirhea sp. (Mt Lewis BG 5733),,Rubiaceae,,Dryandra erythrocephala var. inopinata,,,,HS41
Boronia fastigiata,susceptible_but_degree_unknown,Boronia fastigiata,Boronia fastigiata,Rutaceae,WA,Dryandra falcata,,,,HS40
Boronia revoluta,susceptible_but_degree_unknown,Boronia revoluta,Boronia revoluta,Rutaceae,WA,Dryandra ferruginea subsp. pumila,,,,HS58
Correa reflexa,susceptible_but_degree_unknown,Correa reflexa,Correa reflexa,Rutaceae,"SA, Qld, NSW, ACT, Vic, Tas",Dryandra foliolata,58,,,"HS58,59"
Crowea angustifolia s.l.,susceptible_but_degree_unknown,Crowea angustifolia,Crowea angustifolia,Rutaceae,WA,Dryandra foliosissima,,,,HS41
Flindersia bourjotiana,susceptible_but_degree_unknown,Flindersia bourjotiana,Flindersia bourjotiana,Rutaceae,"Qld, NSW",Dryandra formosa,"46, 51,58",,,"S46,51,MS-HS40,58,59"
Pouteria brownlessiana,susceptible_but_degree_unknown,Pleioluma brownlessiana,Pleioluma brownlessiana,Sapotaceae,Qld,Dryandra fraseri var. oxycedra,,,,HS41
Selaginella uliginosa,susceptible_but_degree_unknown,Selaginella uliginosa,Selaginella uliginosa,Selaginellaceae,"Qld, NSW, Vic, Tas",Dryandra hirsuta,58,,,"MS40,58"
Franciscodendron laurifolium,susceptible_but_degree_unknown,Franciscodendron laurifolium,Franciscodendron laurifolium,Malvaceae,Qld,Dryandra horrida,,,,HS41
Thomasia grandiflora,susceptible_but_degree_unknown,Thomasia grandiflora,Thomasia grandiflora,Malvaceae,WA,Dryandra idiogenes,,,,HS41
Stylidium spathulatum,susceptible_but_degree_unknown,Stylidium spathulatum,Stylidium spathulatum,Stylidiaceae,WA,Dryandra ionthocarpa E,,,,HS41
Tetratheca ciliata,susceptible_but_degree_unknown,Tetratheca ciliata,Tetratheca ciliata,Elaeocarpaceae,"SA, NSW, Vic, Tas",Dryandra kippistiana var. paenepeccata,,,,HS41
Tremandra stelligera,susceptible_but_degree_unknown,Tremandra stelligera,Tremandra stelligera,Elaeocarpaceae,WA,Dryandra lepidorhiza,,,,HS41
Xanthophyllum octandrum,susceptible_but_degree_unknown,Xanthophyllum octandrum,Xanthophyllum octandrum,Polygalaceae,Qld,Dryandra lindleyana s.l.,,,,"S46,SP21"
Lomandra odora,susceptible_but_degree_unknown,Lomandra odora,Lomandra odora,Asparagaceae,WA,Dryandra mimica E,,,,"S52,HS41"
Xanthorrhoea drummondii,susceptible_but_degree_unknown,Xanthorrhoea drummondii,Xanthorrhoea drummondii,Xanthorrhoeaceae,WA,Dryandra montana E,58,,,"S49,HS41,58,59"
Xanthorrhoea nana,susceptible_but_degree_unknown,Xanthorrhoea nana,Xanthorrhoea nana,Xanthorrhoeaceae,WA,Dryandra mucronulata,,,,HS40
Macrozamia communis,susceptible_but_degree_unknown,Macrozamia communis,Macrozamia communis,Zamiaceae,NSW,Dryandra nivea s.l.,"14,28",,,"S37,46,53MS40,59"
Andersonia heterophylla,susceptible_but_degree_unknown,Andersonia heterophylla [alternative possible names: Andersonia macranthera (pro parte misapplied)],Andersonia heterophylla,Ericaceae,WA,Dryandra octotriginta,,,,HS41
Andersonia lehmanniana,susceptible_but_degree_unknown,Andersonia lehmanniana,Andersonia lehmanniana,Ericaceae,WA,Dryandra plumosa subsp. denticulata,,,,"MS-HS40,58,59"
Leucopogon flavescens,susceptible_but_degree_unknown,Styphelia flavescens,Styphelia flavescens,Ericaceae,WA,Dryandra polycephala,,,,MS41
Leucopogon polymorphus,susceptible_but_degree_unknown,Leucopogon polymorphus,Leucopogon polymorphus,Ericaceae,WA,Dryandra porrecta,,,,HS41
Aotus passerinoides,susceptible_but_degree_unknown,Aotus passerinoides,Aotus passerinoides,Fabaceae,WA,Dryandra praemorsa,,3,,
Bossiaea prostrate,susceptible_but_degree_unknown,Bossiaea prostrata [alternative possible names: Bossiaea nummularia (pro parte misapplied)],Bossiaea prostrata,Fabaceae,"SA, Qld, NSW, ACT, Vic, Tas",Dryandra preissii,,,,HS41
Daviesia ulicifolia,susceptible_but_degree_unknown,Daviesia ulicifolia,Daviesia ulicifolia,Fabaceae,"WA, Qld, NSW, Vic, Tas",Dryandra pseudoplumosa,,,,"HS58,MS40"
Darwinia meeboldii,susceptible_but_degree_unknown,Darwinia meeboldii,Darwinia meeboldii,Myrtaceae,WA,Dryandra pteridifolia,,,,"S46,HS40"
Eucalyptus todtiana,susceptible_but_degree_unknown,Eucalyptus todtiana,Eucalyptus todtiana,Myrtaceae,WA,Dryandra pulchella,,,,HS41
Melaleuca scabra,susceptible_but_degree_unknown,Melaleuca scabra,Melaleuca scabra,Myrtaceae,WA,Dryandra quercifolia,,,,"HS40,59"
Pericalymma ellipticum,susceptible_but_degree_unknown,Pericalymma ellipticum,Pericalymma ellipticum,Myrtaceae,WA,Dryandra sclerophylla,,,,HS41
Verticordia huegelii,susceptible_but_degree_unknown,Verticordia huegelii,Verticordia huegelii,Myrtaceae,WA,Dryandra seneciifolia,,,,"S46,MS-HS41,58"
Verticordia nitens,susceptible_but_degree_unknown,Verticordia nitens,Verticordia nitens,Myrtaceae,WA,Dryandra serra,,,,"S46,HS41,58"
Podocarpus druoynianus,susceptible_but_degree_unknown,Podocarpus drouynianus,Podocarpus drouynianus,Podocarpaceae,WA,Dryandra serratuloides subsp. perissa,,,,S49
Banksia telmatiaea,susceptible_but_degree_unknown,Banksia telmatiaea,Banksia telmatiaea,Proteaceae,WA,Dryandra serratuloides s.l.,,,,"S49,52,HS41"
Conospermum stoechadis,susceptible_but_degree_unknown,Conospermum stoechadis,Conospermum stoechadis,Proteaceae,WA,Dryandra sessilis,"14,28",,,"SP21,S46,MS40"
Hakea pendanicarpa subsp. crassifolia,susceptible_but_degree_unknown,Hakea pandanicarpa subsp. crassifolia,Hakea pandanicarpa subsp. crassifolia,Proteaceae,WA,Dryandra shanklandiorum,,,,HS41
Petrophile linearis,susceptible_but_degree_unknown,Petrophile linearis,Petrophile linearis,Proteaceae,WA,Dryandra speciosa,,,,HS41
Xylomelum occidentale,susceptible_but_degree_unknown,Xylomelum occidentale,Xylomelum occidentale,Proteaceae,WA,Dryandra squarrosa subsp. argillacea,,,,S49
Tetratheca pilosa s.l.,susceptible_but_degree_unknown,Tetratheca pilosa,Tetratheca pilosa,Elaeocarpaceae,"SA, NSW, Vic, Tas",Dryandra squarrosa s.l.,,,,S46
Astroloma xerophyllum,susceptible_but_degree_unknown,Styphelia xerophylla,Styphelia xerophylla,Ericaceae,WA,Dryandra subpinnatifida,,,,HS41
Jacksonia floribunda,susceptible_but_degree_unknown,Jacksonia floribunda,Jacksonia floribunda,Fabaceae,WA,Dryandra tenuifolia,,,,HS40
Hypocalymma robustum,susceptible_but_degree_unknown,Hypocalymma robustum,Hypocalymma robustum,Myrtaceae,WA,Dryandra tortifolia,,,,HS41
Verticordia densiflora,susceptible_but_degree_unknown,Verticordia densiflora,Verticordia densiflora,Myrtaceae,WA,Dryandra trifontinalis,,,,HS41
Allocasuarina humilis,susceptible_but_degree_unknown field_resistant,Allocasuarina humilis,Allocasuarina humilis,Casuarinaceae,WA,Dryandra wonganensis,,,,HS41
Aotus ericoides,susceptible_but_degree_unknown highly_susceptible,Aotus ericoides [alternative possible names: Aotus gracillima (pro parte misapplied) | Aotus intermedia (pro parte misapplied) | Aotus subspinescens (misapplied)],Aotus ericoides,Fabaceae,"Qld, NSW, Vic, Tas",Franklandia fucifolia,,,,MS40
Amperea xiphoclada,susceptible_but_degree_unknown field_resistant,Amperea xiphoclada,Amperea xiphoclada,Euphorbiaceae,"SA, Qld, NSW, Vic, Tas",Franklandia triaristata,,,,LS41
Hibbertia amplexicaulis,susceptible_but_degree_unknown highly_susceptible,Hibbertia amplexicaulis,Hibbertia amplexicaulis,Dilleniaceae,WA,Grevillea acrobotrya susbp. uniformis,,,,LS41
Banksia nutans,susceptible_but_degree_unknown highly_susceptible,Banksia nutans,Banksia nutans,Proteaceae,WA,Grevillea alpina,"2,25,29",,,S43
Leucopogon verticillatus,susceptible_but_degree_unknown highly_susceptible,Leucopogon verticillatus,Leucopogon verticillatus,Ericaceae,WA,Grevillea aneura,,,,LS41
Adenanthos obovatus,susceptible_but_degree_unknown highly_susceptible,Adenanthos obovatus,Adenanthos obovatus,Proteaceae,WA,Grevillea annulifera,,,,LS41
Banksia menziesii,susceptible_but_degree_unknown highly_susceptible,Banksia menziesii,Banksia menziesii,Proteaceae,WA,Grevillea aquifolium,"25,29",,,S43
Banksia occidentalis s.l.,susceptible_but_degree_unknown highly_susceptible,Banksia occidentalis,Banksia occidentalis,Proteaceae,WA,Grevillea asparagoides,,,,LS41
Lambertia echinata subsp. echinata E,susceptible_but_degree_unknown highly_susceptible,Lambertia echinata subsp. echinata,Lambertia echinata subsp. echinata,Proteaceae,WA,Grevillea astericosa,,,,LS41
Lasiopetalum floribundum,susceptible_but_degree_unknown moderately_susceptible,Lasiopetalum floribundum,Lasiopetalum floribundum,Malvaceae,WA,Grevillea batrachioides E,,,,LS41
Hibbertia montana,susceptible_but_degree_unknown highly_susceptible,Hibbertia montana,Hibbertia montana,Dilleniaceae,WA,Grevillea baxteri,,,,LS41
Hibbertia virgata,susceptible_but_degree_unknown highly_susceptible,Hibbertia virgata,Hibbertia virgata,Dilleniaceae,"SA, NSW, Vic, Tas",Grevillea brachystylis subsp. australis V,,,,LS41
Adenanthos cygnorum s.l.,susceptible_but_degree_unknown highly_susceptible,Adenanthos cygnorum,Adenanthos cygnorum,Proteaceae,WA,Grevillea brachystylis subsp. brachystylis,,,,LS41
Banksia brownii E,susceptible_but_degree_unknown highly_susceptible,Banksia brownii,Banksia brownii,Proteaceae,WA,Grevillea bracteosa,,,,LS41
Banksia littoralis,susceptible_but_degree_unknown highly_susceptible,Banksia littoralis,Banksia littoralis,Proteaceae,WA,Grevillea calliantha E,,,,"S52,LS41"
Banksia oligantha E,susceptible_but_degree_unknown highly_susceptible,Banksia oligantha,Banksia oligantha,Proteaceae,WA,Grevillea candicans,,,,LS41
Dryandra serratuloides s.l.,susceptible_but_degree_unknown highly_susceptible,Banksia serratuloides,Banksia serratuloides,Proteaceae,WA,Grevillea christinae E,,,,LS41
Andersonia caerulea,susceptible_but_degree_unknown highly_susceptible,Andersonia caerulea [alternative possible names: Andersonia hammersleyana (pro parte misapplied)],Andersonia caerulea,Ericaceae,WA,Grevillea chrysophaea,32,,,HS32
Banksia attenuata,susceptible_but_degree_unknown highly_susceptible,Banksia attenuata,Banksia attenuata,Proteaceae,WA,Grevillea cirsiifolia ,,,,S52
Banksia baxteri,susceptible_but_degree_unknown highly_susceptible,Banksia baxteri,Banksia baxteri,Proteaceae,WA,Grevillea confertifolia,,44,,MS44
Banksia ilicifolia,susceptible_but_degree_unknown highly_susceptible,Banksia ilicifolia,Banksia ilicifolia,Proteaceae,WA,Grevillea costata,,,,LS41
Banksia prionotes,susceptible_but_degree_unknown highly_susceptible,Banksia prionotes,Banksia prionotes,Proteaceae,WA,Grevillea crowleyae,,,,LS41
Banksia quercifolia,susceptible_but_degree_unknown highly_susceptible,Banksia quercifolia,Banksia quercifolia,Proteaceae,WA,Grevillea curviloba s.l.,,,,LS41
Banksia speciosa,susceptible_but_degree_unknown highly_susceptible,Banksia speciosa,Banksia speciosa,Proteaceae,WA,Grevillea decora,,3,,
Isopogon uncinatus E,susceptible_but_degree_unknown highly_susceptible,Isopogon uncinatus,Isopogon uncinatus,Proteaceae,WA,Grevillea depauperata,,,,LS41
Banksia coccinea,susceptible_but_degree_unknown highly_susceptible,Banksia coccinea,Banksia coccinea,Proteaceae,WA,Grevillea donaldiana,,,,LS41
Lambertia fairallii E,susceptible_but_degree_unknown highly_susceptible,Lambertia fairallii,Lambertia fairallii,Proteaceae,WA,Grevillea dryandroides s.l.,,,,LS41
Lambertia orbifolia E,susceptible_but_degree_unknown highly_susceptible,Lambertia orbifolia,Lambertia orbifolia,Proteaceae,WA,Grevillea erectiloba,,,,LS41
Leucopogon nutans,susceptible_but_degree_unknown highly_susceptible low_susceptibility susceptible_but_persistent,Styphelia nitens,Styphelia nitens,Ericaceae,WA,Grevillea eriobotrya,,,,LS41
Dasypogon bromeliifolius,susceptible_but_degree_unknown low_susceptibility,Dasypogon bromeliifolius [alternative possible names: Dasypogon obliquifolius (pro parte misapplied)],Dasypogon bromeliifolius,Dasypogonaceae,WA,Grevillea fasciculata,,,,"FR40,MS59"
Banksia goodii V,susceptible_but_degree_unknown moderately_susceptible,Banksia goodii,Banksia goodii,Proteaceae,WA,Grevillea fistulosa,,,,LS41
Acacia myrtifolia,susceptible_but_degree_unknown moderately_susceptible,Acacia myrtifolia,Acacia myrtifolia,Fabaceae,"WA, SA, Qld, NSW, Vic, Tas",Grevillea flexuosa V,,,,LS41
Adenanthos cunninghamii E,susceptible_but_degree_unknown moderately_susceptible,Adenanthos x cunninghamii,Adenanthos x cunninghamii,Proteaceae,WA,Grevillea fulgens,,,,LS41
Dryandra nivea s.l.,susceptible_but_degree_unknown moderately_susceptible,Banksia nivea [alternative possible names: Banksia dallanneyi (pro parte misapplied) | Banksia dallanneyi (misapplied) | Banksia dallanneyi var. dallanneyi (misapplied) | Banksia dallanneyi var. mellicula (misapplied)],Banksia nivea,Proteaceae,WA,Grevillea fuscolutea,,,,LS41
Isopogon sphaerocephalus,susceptible_but_degree_unknown moderately_susceptible,Isopogon sphaerocephalus,Isopogon sphaerocephalus,Proteaceae,WA,Grevillea georgeana,,,,LS41
Banksia sphaerocarpa s.l.,susceptible_but_degree_unknown moderately_susceptible highly_susceptible,Banksia sphaerocarpa,Banksia sphaerocarpa,Proteaceae,WA,Grevillea glabrata subsp. dissectifolia,,,,LS41
Eucalyptus marginata,susceptible_but_degree_unknown moderately_susceptible low_susceptibility,Eucalyptus marginata,Eucalyptus marginata,Myrtaceae,WA,Grevillea glabrata subsp. ornithopoda,,,,LS41
Dryandra formosa,susceptible_but_degree_unknown moderately_susceptible highly_susceptible,Banksia formosa,Banksia formosa,Proteaceae,WA,Grevillea globosa,,,,LS41
Styphelia tenuiflora,susceptible_but_degree_unknown presumed_resistant highly_susceptible,Styphelia tenuiflora,Styphelia tenuiflora,Ericaceae,WA,Grevillea granulosa,,,,LS41
Persoonia juniperina,susceptible_but_degree_unknown,Persoonia juniperina,Persoonia juniperina,Proteaceae,"SA, NSW, Vic, Tas",Grevillea hookeriana,,,,FR50
Bossiaea ornata,susceptible_but_degree_unknown susceptible_but_persistent,Bossiaea ornata,Bossiaea ornata,Fabaceae,WA,Grevillea inconspicua,,,,LS41
Daviesia decurrens,susceptible_but_degree_unknown susceptible_but_persistent,Daviesia decurrens,Daviesia decurrens,Fabaceae,WA,Grevillea infundibularis E,,,,LS41
Trymalium ledifolium,susceptible_but_degree_unknown susceptible_but_persistent,Trymalium ledifolium,Trymalium ledifolium,Rhamnaceae,WA,Grevillea involucrata E,,,,LS41
Hibbertia hypericoides,susceptible_but_degree_unknown susceptible_but_persistent moderately_susceptible highly_susceptible,Hibbertia hypericoides,Hibbertia hypericoides,Dilleniaceae,WA,Grevillea irrasa subsp. irrasa,13,,,HS22
Chamaescilla corymbosa var. corymbosa,susceptible_but_degree_unknown field_resistant,Chamaescilla corymbosa var. corymbosa,Chamaescilla corymbosa var. corymbosa,Asparagaceae,"WA, SA, Vic, Tas",Grevillea juniperina s.l.,,3,,
Eucalyptus delegatensis,susceptible_but_degree_unknown field_resistant,Eucalyptus delegatensis,Eucalyptus delegatensis,Myrtaceae,"NSW, ACT, Vic, Tas",Grevillea kenneallyi,,,,LS41
Eucalyptus regnans,susceptible_but_degree_unknown field_resistant,Eucalyptus regnans,Eucalyptus regnans,Myrtaceae,"Vic, Tas",Grevillea lanigera,,3,,
Melaleuca squarrosa,susceptible_but_degree_unknown field_resistant,Melaleuca squarrosa,Melaleuca squarrosa,Myrtaceae,"SA, NSW, Vic, Tas",Grevillea latifolia,,,,LS41
Rhodamnia blairiana,susceptible_but_degree_unknown field_resistant,Rhodamnia blairiana,Rhodamnia blairiana,Myrtaceae,Qld,Grevillea lavandulacea s.l.,,,,S20
Synaphea petiolaris s.l.,susceptible_but_degree_unknown field_resistant,Synaphea petiolaris,Synaphea petiolaris,Proteaceae,WA,Grevillea leptopoda,,,,LS41
Pimelea linifolia s.l.,susceptible_but_degree_unknown field_resistant,Pimelea linifolia,Pimelea linifolia,Thymelaeaceae,"SA, Qld, NSW, ACT, Vic, Tas",Grevillea lissopleura,,,,LS41
Acacia suaveolens,susceptible_but_degree_unknown field_resistant low_susceptibility,Acacia suaveolens,Acacia suaveolens,Fabaceae,"SA, Qld, NSW, Vic, Tas",Grevillea longistyla,,3,,
Astroloma humifusum,susceptible_but_degree_unknown highly_susceptible,Styphelia humifusa,Styphelia humifusa,Ericaceae,"SA, NSW, ACT, Vic, Tas",Grevillea lullfitzii,,,,LS41
Leucopogon ericoides,susceptible_but_degree_unknown highly_susceptible,Styphelia ericoides,Styphelia ericoides,Ericaceae,"SA, Qld, NSW, Vic, Tas",Grevillea makinsonii,,,,LS41
Leucopogon obtectus E,susceptible_but_degree_unknown highly_susceptible,Styphelia obtecta,Styphelia obtecta,Ericaceae,WA,Grevillea manglesioides subsp. papillosa,,,,LS41
Bossiaea cinerea,susceptible_but_degree_unknown highly_susceptible,Bossiaea cinerea,Bossiaea cinerea,Fabaceae,"SA, NSW, Vic, Tas",Grevillea marriottii,,,,LS41
Daviesia inflata,susceptible_but_degree_unknown highly_susceptible,Daviesia inflata,Daviesia inflata,Fabaceae,WA,Grevillea maxwellii E,,,,LS41
Dillwynia glaberrima,susceptible_but_degree_unknown highly_susceptible,Dillwynia glaberrima,Dillwynia glaberrima,Fabaceae,"SA, Qld, NSW, Vic, Tas",Grevillea microstegia,,44,,LS44
Dillwynia sericea,susceptible_but_degree_unknown highly_susceptible,Dillwynia sericea,Dillwynia sericea,Fabaceae,"SA, Qld, NSW, ACT, Vic, Tas",Grevillea miniata,,,,LS41
Gompholobium confertum,susceptible_but_degree_unknown highly_susceptible,Gompholobium confertum,Gompholobium confertum,Fabaceae,WA,Grevillea minutiflora,,,,LS41
Platylobium formosum,susceptible_but_degree_unknown highly_susceptible,Platylobium formosum,Platylobium formosum,Fabaceae,"Qld, NSW",Grevillea miqueliana s.l.,,3,,
Pultenaea gunnii,susceptible_but_degree_unknown highly_susceptible,Pultenaea gunnii,Pultenaea gunnii,Fabaceae,"NSW, Vic, Tas",Grevillea mucronulata,,3,,
Pultenaea stricta,susceptible_but_degree_unknown highly_susceptible,Pultenaea stricta [alternative possible names: Pultenaea kraehenbuehlii (pro parte misapplied)],Pultenaea stricta,Fabaceae,"SA, Vic, Tas",Grevillea murex E,,,,LS41
Eucalyptus fastigata,susceptible_but_degree_unknown highly_susceptible,Eucalyptus fastigata,Eucalyptus fastigata,Myrtaceae,"NSW, ACT, Vic",Grevillea nana subsp. abbreviata,,,,LS41
Adenanthos barbiger,susceptible_but_degree_unknown highly_susceptible,Adenanthos barbiger,Adenanthos barbiger,Proteaceae,WA,Grevillea oleioides,,,,S22
Adenanthos detmoldii s.l.,susceptible_but_degree_unknown highly_susceptible,Adenanthos detmoldii,Adenanthos detmoldii,Proteaceae,WA,Grevillea olivacea,,,,LS41
Adenanthos dobagii E,susceptible_but_degree_unknown highly_susceptible,Adenanthos dobagii,Adenanthos dobagii,Proteaceae,WA,Grevillea phanerophlebia,,,,LS41
Adenanthos ileticos,susceptible_but_degree_unknown highly_susceptible,Adenanthos ileticos,Adenanthos ileticos,Proteaceae,WA,Grevillea phillipsiana,,,,LS41
Adenanthos pungens subsp. effusus E,susceptible_but_degree_unknown highly_susceptible,Adenanthos pungens subsp. effusus,Adenanthos pungens subsp. effusus,Proteaceae,WA,Grevillea pieroniae,,,,MS58
Adenanthos pungens subsp. pungens V,susceptible_but_degree_unknown highly_susceptible,Adenanthos pungens subsp. pungens,Adenanthos pungens subsp. pungens,Proteaceae,WA,Grevillea pilosa subsp. dissecta,,,,LS41
Banksia grandis,susceptible_but_degree_unknown highly_susceptible,Banksia grandis,Banksia grandis,Proteaceae,WA,Grevillea pilulifera,,,,FR21
Banksia hookeriana,susceptible_but_degree_unknown highly_susceptible,Banksia hookeriana,Banksia hookeriana,Proteaceae,WA,Grevillea pimeleoides,,,,LS41
Banksia laevigata,susceptible_but_degree_unknown highly_susceptible,Banksia laevigata,Banksia laevigata,Proteaceae,WA,Grevillea polybractea,,3,,
Banksia seminuda,susceptible_but_degree_unknown highly_susceptible,Banksia seminuda,Banksia seminuda,Proteaceae,WA,Grevillea prostrata,,,,LS41
Banksia tricuspis,susceptible_but_degree_unknown highly_susceptible,Banksia tricuspis,Banksia tricuspis,Proteaceae,WA,Grevillea psilantha,,,,LS41
Dryandra mimica E,susceptible_but_degree_unknown highly_susceptible,Banksia mimica,Banksia mimica,Proteaceae,WA,Grevillea quinquenervis,19,,,
Dryandra pteridifolia,susceptible_but_degree_unknown highly_susceptible,Banksia pteridifolia [alternative possible names: Banksia alliacea (pro parte misapplied)],Banksia pteridifolia,Proteaceae,WA,Grevillea rogersii,19,,,
Isopogon axillaris,susceptible_but_degree_unknown highly_susceptible,Isopogon axillaris,Isopogon axillaris,Proteaceae,WA,Grevillea rogersoniana,,,,LS41
Persoonia elliptica,susceptible_but_degree_unknown highly_susceptible,Persoonia elliptica,Persoonia elliptica,Proteaceae,WA,Grevillea rosieri,,,,LS41
Persoonia longifolia,susceptible_but_degree_unknown highly_susceptible,Persoonia longifolia,Persoonia longifolia,Proteaceae,WA,Grevillea rosmarinifolia s.l.,,3,,
Petrophile serruriae,susceptible_but_degree_unknown highly_susceptible,Petrophile serruriae,Petrophile serruriae,Proteaceae,WA,Grevillea roycei,,,,LS41
Petrophile squamata,susceptible_but_degree_unknown highly_susceptible,Petrophile squamata,Petrophile squamata,Proteaceae,WA,Grevillea rudis,,,,LS41
Hibbertia quadricolor,susceptible_but_degree_unknown highly_susceptible,Hibbertia quadricolor,Hibbertia quadricolor,Dilleniaceae,WA,Grevillea saccata Benth.,,,,S52
Lysinema ciliatum,susceptible_but_degree_unknown highly_susceptible,Lysinema ciliatum [alternative possible names: Lysinema pentapetalum (pro parte misapplied)],Lysinema ciliatum,Ericaceae,WA,Grevillea scabra,,,,LS41
